TITLES;https://www.gametdb.com (type: Wii language: ES version: 20221126025337);
007E01;Wii Auto Erase Disc;
091E00;Movie-Ch Install Disc Ver. A;
410E01;Wii Backup Disc v1.31;
413E01;DiscUpdate Disc;
D2AJAF;Minna de Bouken! Family Trainer (Demo);
D2SE18;Deca Sports 2 (Demo);
D3DE18;Deca Sports 3 (Demo);
DASE4Q;Disney Epic Mickey (Demo);
DAUEPZ;Country Dance (Demo);
DAVE01;Mystery Case Files: The Malgrave Incident (Demo);
DAXE01;The Legend of Zelda: Skyward Sword (Demo);
DAXP01;The Legend of Zelda: Skyward Sword (Demo);
DBBE18;Beyblade: Metal Fusion - Battle Fortress (Demo);
DBKE69;Boom Blox (Demo);
DBKP69;Boom Blox (Demo);
DCAE18;Calling (Demo);
DCHEAF;We Cheer (Demo);
DCHJAF;We Cheer: Ohasta Produce ! Gentei Collabo Game Disc;
DD2P41;Just Dance 2 (Demo);
DDWE18;Lost in Shadow - Press Disc (Demo);
DDWX18;Lost In Shadow - Best Buy (Demo);
DHHJ8J;Hirano Aya Premium Movie Disc from Suzumiya Haruhi no Gekidou;
DHKE18;Help Wanted: 50 Wacky Jobs (Demo);
DK6E18;Marble Saga: Kororinpa (Demo);
DK6J18;Kororinpa 2 (Demo);
DMHE08;Monster Hunter Tri (Demo);
DMHJ08;Monster Hunter Tri (Demo);
DPIE18;Oops! Prank Party (Demo);
DQAJK2;Aquarius Baseball;
DQGP69;MySims Racing (Demo);
DRME18;Rooms: The Main Building (Demo);
DSFE7U;Muramasa: The Demon Blade (Demo);
DSRJ8P;Sonic and the Secret Rings (Demo);
DTOJ8P;428: Fuusa Sareta Shibuya de (Taikenban);
DTZJ08;Takarajima Z Barbaros' Treasure (Demo);
DWEJA4;Winning Eleven PLAY MAKER 2008 (Demo);
DWEPA4;Pro Evolution Soccer 2008 (Demo);
DXSE18;Deca Sports (Demo);
DZDE01;The Legend of Zelda: Twilight Princess (Demo);
DZDP01;The Legend of Zelda: Twilight Princess (Demo);
R22E01;FlingSmash;
R22J01;FlingSmash;
R22P01;FlingSmash;
R23E52;Barbie y las Tres Mosqueteras;
R23P52;Barbie y las Tres Mosqueteras;
R24J01;Chibi-Robo!;
R25EWR;LEGO Harry Potter: Años 1-4;
R25PWR;LEGO Harry Potter: Años 1-4;
R26E5G;Data East Arcade Classics;
R27E54;Dora Salva el Reino de Cristal;
R27X54;Dora Salva el Reino de Cristal;
R28E54;Top Spin 4;
R28P54;Top Spin 4;
R29E52;NPPL Championship Paintball 2009;
R29P52;Millennium Championship Paintball 2009;
R2AE7D;La era del hielo 2;
R2AP7D;Ice Age 2: El Deshielo;
R2AX7D;Ice Age 2: El Deshielo;
R2DEEB;Dokapon Kingdom;
R2DJEP;Dokapon Kingdom For Wii;
R2DPJW;Dokapon Kingdom;
R2EJ99;Fish Eyes Wii;
R2FE5G;Freddi Fish: Kelp Seed Mystery;
R2FP70;Freddi Fish: Kelp Seed Mystery;
R2GEXJ;Fragile Dreams: Farewell Ruins of the Moon;
R2GJAF;Fragile: Sayonara Tsuki no Haikyo;
R2GP99;Fragile Dreams: Farewell Ruins of the Moon;
R2HE41;Petz Horse Club;
R2IE69;Madden NFL 10;
R2IP69;Madden NFL 10;
R2JJAF;Taiko no Tatsujin Wii;
R2KE54;Don King Boxing;
R2KP54;Don King Boxing;
R2LJMS;Hula Wii: Hula de Hajimeru: Bi to Kenkou!;
R2ME20;M&M's Adventure;
R2NE69;NASCAR Kart Racing;
R2OE68;Medieval Games;
R2OP68;Medieval Games;
R2PE9B;Super Swing Golf Season 2;
R2PJ9B;Super Swing Golf Season 2;
R2PKZ4;Super Swing Golf Season 2;
R2PP99;Super Swing Golf;
R2QJC0;Cooking Mama 2 Taihen Mama wa Ooisogashi;
R2RE4F;Pony Friends 2;
R2RP4F;Pony Friends 2;
R2SE18;Deca Sports 2;
R2SJ18;Deca Sporta 2;
R2SP18;Sports Island 2;
R2TE41;Teenage Mutant Ninja Turtles: Smash-Up;
R2TP41;Teenage Mutant Ninja Turtles: Smash-Up;
R2UE8P;Let's Tap;
R2UJ8P;Let's Tap;
R2UP8P;Let's Tap;
R2VE01;Sin & Punishment: Star Successor;
R2VJ01;Sin and Punishment: Successor to the Sky;
R2VP01;Sin and Punishment: Successor of the Skies;
R2WEA4;Pro Evolution Soccer 2009;
R2WJA4;Winning Eleven PLAY MAKER 2009;
R2WPA4;Pro Evolution Soccer 2009;
R2WXA4;Pro Evolution Soccer 2009;
R2YE54;Birthday Party Bash;
R2YP54;¡Mi Gran Fiesta de Cumpleaños!;
R32J01;Metroid Prime 2;
R33E69;AC/DC Live: Rock Band Track Pack;
R33P69;AC/DC Live: Rock Band Song Pack;
R34E69;Rock Band: Country Track Pack;
R35JC8;Sangokushi 11 with Power-Up Kit;
R36E69;Green Day: Rock Band;
R36P69;Green Day: Rock Band;
R37E69;Rock Band: Metal Track Pack;
R38E78;Marvel Super Hero Squad;
R38P78;Marvel Super Hero Squad;
R38X78;Marvel Super Hero Squad: Edición Walmart;
R38Y78;Marvel Super Hero Squad;
R39EFP;Shimano Xtreme Fishing;
R39PNK;Shimano Extreme Fishing;
R3AE20;Story Hour: Adventures;
R3AP7J;Story Hour: Adventures;
R3BE8P;Samba de Amigo;
R3BJ8P;Samba de Amigo;
R3BP8P;Samba de Amigo;
R3CE20;Chrysler Classic Racing;
R3CP7J;Chrysler Classic Racing;
R3DES5;Dream Pinball 3D;
